
Запущен  ИНК
Запущен алгоритм формирования групп классов
mlp_net: Создан 1 слой
mlp_net: Создан 2 слой
	АФГК: итерация 1
			Epochs: 1
				Training: re(ce) = 0.0218587 (0.0219104)
				Test: re(ce) = 0.0219539 (0.0211718)
				Validation: re(ce) = 0.0195587 (0.0162482)
			Epochs: 2
				Training: re(ce) = 0.010923 (0.00640079)
				Test: re(ce) = 0.0118186 (0.00640079)
				Validation: re(ce) = 0.0103982 (0.00443131)
			Epochs: 3
				Training: re(ce) = 0.00685495 (0.00320039)
				Test: re(ce) = 0.00790216 (0.00443131)
				Validation: re(ce) = 0.00692917 (0.00246184)
			Epochs: 4
				Training: re(ce) = 0.00577194 (0.00196947)
				Test: re(ce) = 0.00652452 (0.00196947)
				Validation: re(ce) = 0.00606841 (0.00196947)
			Epochs: 5
				Training: re(ce) = 0.00378486 (0.000492368)
				Test: re(ce) = 0.00447789 (0.00196947)
				Validation: re(ce) = 0.00406319 (0.000492368)
			Epochs: 6
				Training: re(ce) = 0.00306996 (0.000984737)
				Test: re(ce) = 0.00358818 (0.00196947)
				Validation: re(ce) = 0.00338054 (0)
		Достигнуто максимальное количество эпох
		Training completed:   17.109 s
		Training: re(ce) = 0.00306996 (0.000984737)
		Validation: re(ce) = 0.00338054 (0)
		Test: re(ce) = 0.00358818 (0.00196947)
	Осталось 2 уникальных классов:
	Показатели МСП узла на обучающем множестве:
		regressError = 0.00306996
		classError = 0.000984737
		numErrors = 4
		correct = 99.90
	Показатели МСП узла на тестовом множестве:
		regressError = 0.00358818
		classError = 0.00196947
		numErrors = 4
		correct = 99.80
	Показатели МСП узла на проверочном множестве:
		regressError = 0.00338054
		classError = 0
		numErrors = 0
		correct = 100.00
Уникальных классов 2
mlp_net: Создан 1 слой
mlp_net: Создан 2 слой
			Epochs: 1
				Training: re(ce) = 0.0579963 (0.0137863)
				Test: re(ce) = 0.0604024 (0.0137863)
				Validation: re(ce) = 0.0570798 (0.0132939)
			Epochs: 2
				Training: re(ce) = 0.0334206 (0.00492368)
				Test: re(ce) = 0.0349082 (0.00590842)
				Validation: re(ce) = 0.0350986 (0.00738552)
			Epochs: 3
				Training: re(ce) = 0.0187435 (0.000738552)
				Test: re(ce) = 0.0196123 (0)
				Validation: re(ce) = 0.0203338 (0.000984737)
			Epochs: 4
				Training: re(ce) = 0.0123288 (0.000246184)
				Test: re(ce) = 0.0130872 (0)
				Validation: re(ce) = 0.0139659 (0.000492368)
			Epochs: 5
				Training: re(ce) = 0.0084074 (0.000246184)
				Test: re(ce) = 0.00897511 (0)
				Validation: re(ce) = 0.00959923 (0.000492368)
			Epochs: 6
				Training: re(ce) = 0.00640225 (0)
				Test: re(ce) = 0.00691275 (0)
				Validation: re(ce) = 0.00729622 (0.000492368)
			Epochs: 7
				Training: re(ce) = 0.00484258 (0)
				Test: re(ce) = 0.00526336 (0)
				Validation: re(ce) = 0.00586963 (0.000492368)
			Epochs: 8
				Training: re(ce) = 0.00398473 (0)
				Test: re(ce) = 0.00443839 (0)
				Validation: re(ce) = 0.00509244 (0)
			Epochs: 9
				Training: re(ce) = 0.00415786 (0)
				Test: re(ce) = 0.00447069 (0)
				Validation: re(ce) = 0.00512606 (0)
			Epochs: 10
				Training: re(ce) = 0.00273971 (0)
				Test: re(ce) = 0.00304347 (0)
				Validation: re(ce) = 0.00351558 (0)
			Epochs: 11
				Training: re(ce) = 0.0024823 (0)
				Test: re(ce) = 0.00277468 (0)
				Validation: re(ce) = 0.00315077 (0)
			Epochs: 12
				Training: re(ce) = 0.00211424 (0)
				Test: re(ce) = 0.00232639 (0)
				Validation: re(ce) = 0.00263849 (0)
			Epochs: 13
				Training: re(ce) = 0.00184692 (0)
				Test: re(ce) = 0.00204897 (0)
				Validation: re(ce) = 0.00235234 (0)
			Epochs: 14
				Training: re(ce) = 0.00166505 (0)
				Test: re(ce) = 0.00188178 (0)
				Validation: re(ce) = 0.00214737 (0)
			Epochs: 15
				Training: re(ce) = 0.00152885 (0)
				Test: re(ce) = 0.00169658 (0)
				Validation: re(ce) = 0.00196003 (0)
			Epochs: 16
				Training: re(ce) = 0.00142559 (0)
				Test: re(ce) = 0.0016229 (0)
				Validation: re(ce) = 0.00185329 (0)
			Epochs: 17
				Training: re(ce) = 0.0013021 (0)
				Test: re(ce) = 0.00146071 (0)
				Validation: re(ce) = 0.00165873 (0)
			Epochs: 18
				Training: re(ce) = 0.00135768 (0)
				Test: re(ce) = 0.00150341 (0)
				Validation: re(ce) = 0.00173059 (0)
			Epochs: 19
				Training: re(ce) = 0.00115489 (0)
				Test: re(ce) = 0.00130413 (0)
